Datum (MEZ),Solar_diff,Solar_Prognose_diff
2014-12-31,178400.6,168622.9
2015-01-31,178350228.0,163942064.4
2015-02-28,162701427.4,149713037.2
2015-03-31,166307998.8,157761392.2
2015-04-30,142361477.7,136518894.6
2015-05-31,139520530.3,132877868.80000001
2015-06-30,138719186.6,125308860.19999999
2015-07-31,145890197.1,138893607.4
2015-08-31,141643915.7,137308110.60000002
2015-09-30,148509330.9,142584279.8
2015-10-31,163088937.10000002,153062732.20000002
2015-11-30,168652744.6,159107909.0
2015-12-31,165610657.5,161777408.7
2016-01-31,177202597.6,163391135.1
2016-02-29,166193030.6,155031768.70000002
2016-03-31,165491427.3,154498141.20000002
2016-04-30,147222703.29999998,135005631.7
2016-05-31,141769400.70000002,129882857.3
2016-06-30,139620829.0,131969630.2
2016-07-31,142423376.6,134394378.79999998
2016-08-31,141744627.8,133119421.69999999
2016-09-30,142296525.6,136136489.89999998
2016-10-31,162141723.7,152787811.8
2016-11-30,173435356.9,163001520.1
2016-12-31,174607038.6,163307282.7
2017-01-31,186047788.0,173361599.6
2017-02-28,162450961.5,158032344.8
2017-03-31,164498206.2,159632953.0
2017-04-30,144279182.4,137255616.89999998
2017-05-31,143697092.79999998,138556543.1
2017-06-30,135963145.9,132492349.2
2017-07-31,142366771.1,139689890.0
2017-08-31,142111245.2,137124640.70000002
2017-09-30,147288737.20000002,139820426.4
2017-10-31,160831523.20000002,154814137.5
2017-11-30,173095978.5,167617746.5
2017-12-31,176528424.60000002,171357260.9
2018-01-31,182975188.9,177077106.39999998
2018-02-28,164420546.4,158465365.8
2018-03-31,173265330.0,167690452.29999998
2018-04-30,141537790.9,135135715.2
2018-05-31,138460660.5,133147507.60000001
2018-06-30,139922670.6,136018002.5
2018-07-31,139164279.79999998,137159371.1
2018-08-31,144079639.4,141857172.89999998
2018-09-30,144564003.79999998,141066588.5
2018-10-31,161596472.39999998,156280842.6
2018-11-30,169571906.9,164102678.0
2018-12-31,172121977.0,165416044.3
2019-01-31,182743251.5,173782248.5
2019-02-28,156429656.2,152058376.29999998
2019-03-31,162672982.3,156460361.9
2019-04-30,137452268.39999998,130092198.69999999
2019-05-31,142385840.1,133361024.80000001
2019-06-30,126684250.20000002,119648806.9
2019-07-31,140805115.0,138273612.1
2019-08-31,137082183.70000002,132992504.50000001
2019-09-30,142006066.2,136720740.5
2019-10-31,159538419.4,152729104.7
2019-11-30,167811976.0,159687282.39999998
2019-12-31,165877754.29999998,163099951.8
2020-01-31,176972896.2,170815761.20000002
2020-02-29,165765062.29999998,160540308.4
2020-03-31,155003524.4,155461316.9
2020-04-30,120687434.69999999,122316332.7
2020-05-31,123478669.4,123961223.49999999
2020-06-30,122899854.0,121397978.2
2020-07-31,128651190.39999999,126683508.30000001
2020-08-31,132240922.7,127712752.6
2020-09-30,136261799.4,130400643.6
2020-10-31,162047225.2,156223566.6
2020-11-30,164830741.6,158558902.1
2020-12-31,169120509.79999998,162878160.10000002
2021-01-31,180078880.4,167382363.6
2021-02-28,158950072.5,152014765.9
2021-03-31,163069954.1,153206856.60000002
2021-04-30,142317126.4,132926929.3
2021-05-31,137372102.5,137563176.79999998
2021-06-30,129543065.30000001,126799861.0
2021-07-31,137587095.70000002,133930764.1
2021-08-31,136544809.8,135009393.29999998
2021-09-30,138935329.1,136368221.9
2021-10-31,159921841.1,156149223.3
2021-11-30,171175955.3,165135634.3
2021-12-31,176786809.5,173330939.60000002
2022-01-31,181190295.0,175156195.2
2022-02-28,160342350.10000002,157919998.0
2022-03-31,153889131.7,150766157.2
2022-04-30,138037834.9,137584757.10000002
2022-05-31,130126925.60000001,127772776.39999999
2022-06-30,117984408.9,119449341.99999999
2022-07-31,121793520.10000001,125048283.70000002
2022-08-31,120696184.89999999,125385674.4
2022-09-30,130506847.80000001,135263395.29999998
2022-10-31,139850364.3,153447272.5
2022-11-30,152274134.6,161102458.70000002
2022-12-31,162457422.70000002,165739213.2
2023-01-31,165092871.70000002,171981932.3
2023-02-28,143111226.3,146942771.1
2023-03-31,148637079.4,156419519.8
2023-04-30,122902032.79999998,127008243.1
2023-05-31,113943025.69999999,118037234.99999999
2023-06-30,106973322.60000001,111148328.19999999
2023-07-31,114598155.5,113024866.4
2023-08-31,119247191.89999999,114672448.69999999
2023-09-30,116761102.8,111980795.89999999
2023-10-31,141573343.20000002,136617644.20000002
2023-11-30,158690747.7,151722757.0
2023-12-31,160614541.8,158052740.4
2024-01-31,170564150.4,163648563.4
2024-02-29,150760680.8,148679901.1
2024-03-31,141247788.5,140165125.4
2024-04-30,118148174.80000001,124975201.19999999
2024-05-31,106714585.89999999,115784477.89999999
2024-06-30,109557528.10000001,110635838.0
2024-07-31,113097921.80000001,113163991.9
2024-08-31,114121010.7,110465791.0
2024-09-30,14497687.700000001,19744276.6
